algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,96,0.0,0.885376977443695,0.3861124638915062,0.0,0.017502321498468518,0.0,,0.0,0.0,0.00449896879228098,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,97,0.0,0.8853487782478332,0.38626878052949903,0.0,0.017299730679020287,0.0,,0.0,0.0,0.0032175965565589388,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,98,0.0,0.8853289765119553,0.3864118430018425,0.0,0.01716264923289418,0.0,,0.0,0.0,0.0016455287779016154,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,99,0.0,0.8853235790729522,0.386600352704525,0.0,0.01708054348267615,0.0,,0.0,0.0,0.002639625413829218,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,100,0.0,0.8853347779512405,0.3868156782388687,0.0,0.016940912952646613,0.0,,0.0,0.0,0.002718957080303327,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,101,0.0,0.8853109791278839,0.3869177780151367,0.0,0.016818831577897073,0.0,,0.0,0.0,0.003345032467041165,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,102,0.0,0.8853425778150559,0.38707583689689634,0.0,0.016673258183524012,0.0,,0.0,0.0,0.002861119629987688,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,103,0.0,0.8853207777738571,0.3872431370615959,0.0,0.016531747188419103,0.0,,0.0,0.0,0.0030788990053614335,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,104,0.0,0.885324976682663,0.3874570766687393,0.0,0.016396619021892548,0.0,,0.0,0.0,0.003447561346304913,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,105,0.0,0.8853157780170441,0.38765860414505005,0.0,0.016236421158537268,0.0,,0.0,0.0,0.003291573846186309,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,106,0.0,0.8853011778593063,0.38780964475870133,0.0,0.016173097554594278,0.0,,0.0,0.0,0.003205854963931826,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,107,0.0,0.8853281780481338,0.3880493847131729,0.0,0.016005013735964895,0.0,,0.0,0.0,0.0022531893813389947,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,108,0.0,0.8853233770132065,0.38826020044088366,0.0,0.015859950186684728,0.0,,0.0,0.0,0.0023907688395727587,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,109,0.0,0.885321377158165,0.3885031687617302,0.0,0.015780760418623686,0.0,,0.0,0.0,0.0038804656360298395,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,110,0.0,0.8852997769117356,0.38870851480960844,0.0,0.015706712666898964,0.0,,0.0,0.0,0.0036794061597902328,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,111,0.0,0.8852877777814865,0.3889308596253395,0.0,0.015466747907921671,0.0,,0.0,0.0,0.0021321933902800085,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,112,0.0,0.8852357761859894,0.38919293773174285,0.0,0.01541282719001174,0.0,,0.0,0.0,0.0022974391412433413,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,113,0.0,0.8852655785083771,0.3893947772979736,0.0,0.015302263312041759,0.0,,0.0,0.0,0.0029931439961673636,0.0
